library,version,cve,cvss,cwe,summary,signature,upgrade_rec
jquery,1.12.4,CVE-2015-9251,6.1,CWE-79,jQuery XSS via cross-domain Ajax,jQuery\.fn\.jquery,3.5.0
jquery,3.4.1,CVE-2020-11023,6.1,CWE-79,jQuery XSS via htmlPrefilter with <option> tags,jQuery\.fn\.jquery,3.5.0
jquery,3.3.1,CVE-2019-11358,6.1,CWE-1321,jQuery prototype pollution in jQuery.extend,jQuery\.fn\.jquery,3.4.0
lodash,4.17.10,CVE-2018-16487,5.6,CWE-1321,Lodash prototype pollution via zipObjectDeep,_\.VERSION,4.17.11
lodash,4.17.11,CVE-2019-10744,9.1,CWE-1321,Lodash prototype pollution via defaultsDeep,_\.VERSION,4.17.12
lodash,4.17.15,CVE-2021-23337,7.2,CWE-94,Lodash command injection via template function,_\.VERSION,4.17.21
moment,2.29.1,CVE-2022-31129,7.5,CWE-1333,Moment.js ReDoS via crafted locale string,moment\.version,2.29.4
bootstrap,3.4.0,CVE-2018-14041,6.1,CWE-79,Bootstrap XSS in tooltip/popover data-template,Bootstrap\.VERSION,3.4.1
bootstrap,4.3.0,CVE-2019-8331,6.1,CWE-79,Bootstrap XSS in tooltip/popover data-template,Bootstrap\.VERSION,4.3.1
axios,0.21.0,CVE-2020-28168,5.9,CWE-918,Axios SSRF via proxy configuration bypass,axios\.VERSION,0.21.1
axios,1.5.1,CVE-2023-45857,6.5,CWE-201,Axios leaks XSRF-TOKEN to third-party host on redirect,axios\.VERSION,1.6.0
