domain,url,platform,discovery_method,source_url
arbigent.vercel.app,https://arbigent.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/Subho4531/arbigent003
grantloop.netlify.app,https://grantloop.netlify.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/rohan911438/GranTLooP
www.peerly.io,https://www.peerly.io,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/Akaran19/Peerly
yapd4africa.netlify.app,https://yapd4africa.netlify.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/Abdoulayeguene/yapd4africa-digital-reach
v0-law-student-landing-page-vikas-goyankas-projects.vercel.app,https://v0-law-student-landing-page-vikas-goyankas-projects.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/VikasGoyankain/mywebsite
ayubridge.vercel.app,https://ayubridge.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/Abhi6537/AYUBRIDGE
amoai.vercel.app,https://amoai.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/amo-tech-ai/prompt-sculptor-49
flick-find-share-stream.vercel.app,https://flick-find-share-stream.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/SriCharan55/flick-find-share-stream
procureflow-orcin.vercel.app,https://procureflow-orcin.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/Sambit-Mondal/procureflow-pro
bookkeeping-ten.vercel.app,https://bookkeeping-ten.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/AAASSEM/bookkeeping
todayevents.vercel.app,https://todayevents.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/yashan223/todayevents
adelelawady.github.io,https://adelelawady.github.io,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/adelelawady/whisper-ink
helpdesk-flow-verse.vercel.app,https://helpdesk-flow-verse.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/piyushraj04/helpdesk-flow-verse
naukrii.vercel.app,https://naukrii.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/anasali79/naukrii
smart-study-planner-three.vercel.app,https://smart-study-planner-three.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/saisrinivas77/Smart-Study-Planner
www.cineamateur-hlif.com,https://www.cineamateur-hlif.com,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/MWRouin/ftca-cinema-vista
yasir-arafaat.vercel.app,https://yasir-arafaat.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/yasirarafaat1/portfolio-main
portfoliov3-puce.vercel.app,https://portfoliov3-puce.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/oxBinaryBrain/Portfoilo_v3
gsv-freshers-compass.vercel.app,https://gsv-freshers-compass.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/CODEAbhinav-art/gsv-freshers-compass
thevaki-balakrishnan-portfolio.vercel.app,https://thevaki-balakrishnan-portfolio.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/NicheUX-DesignStudio/thevaki-balakrishnan-portfolio
portfolio-woad-chi-5jj8tgci25.vercel.app,https://portfolio-woad-chi-5jj8tgci25.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/Yuvrraaj/Portfolio
startupdeck.in,https://startupdeck.in,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/trynayash/startupdeck-open
heal-sphere.vercel.app,https://heal-sphere.vercel.app,lovable,"GitHub public code search for lovable scaffolding signature, repo 'homepage' field",https://github.com/pawaspy/VitaReach
